suffix,meaning,sample 1,sample 2,sample 3,sample 4,sample 5
-able,(Adj.) can be done (可...的),portable (可攜的),readable (可讀的),reliable (可靠的),edible (可食用的),taxable (可徵稅的)
-ac,(Adj./N.) related to (關於...的/人),maniac (瘋子),cardiac (心臟的),demoniac (魔鬼的),hypochondriac (疑病症者),insomniac (失眠者)
-acity,(N.) quality of (多...的性質),capacity (容量),tenacity (頑強),audacity (大膽),loquacity (多話),vivacity (活力)
-acy,"(N.) state, quality (性質，狀態)",legacy (遺產),privacy (隱私),accuracy (準確性),literacy (識字),vacancy (空缺)
-ade,"(N.) action, result (行為，集合)",decade (十年),blockade (封鎖),lemonade (檸檬水),marinade (醃汁),paradade (遊行)
-age,"(N.) action, result (行為，結果)",luggage (行李),marriage (婚姻),passage (通道),shortage (短缺),storage (儲存)
-aholic,(N.) addicted to (沉迷於...的人),workaholic (工作狂),shopaholic (購物狂),foodaholic (吃貨),bookaholic (書迷),laughaholic (愛笑的人)
-al,"(N.) action, process (行為，過程)",survival (生存),arrival (到達),denial (否認),proposal (提議),refusal (拒絕)
-al,(Adj.) pertaining to (關於...的),formal (正式的),musical (音樂的),global (全球的),natural (自然的),mental (心理的)
-algia,(N.) pain (疼痛),neuralgia (神經痛),nostalgia (懷舊/思鄉病),gastralgia (胃痛),myalgia (肌肉痛),otalgia (耳痛)
-an,(Adj.) relating to (關於/人),Italian (義大利的),American (美國的),urban (城市的),human (人類的),veteran (老兵)
-ance,"(N.) state, quality (性質，狀態)",distance (距離),appearance (外貌),resistance (抵抗),guidance (指導),tolerance (包容)
-ant,(N.) person who does (者/物),assistant (助理),servant (僕人),coolant (冷卻劑),applicant (申請人),consultant (顧問)
-ar,(Adj./N.) relating to (關於...的/者),solar (太陽的),lunar (月亮的),polar (極地的),beggar (乞丐),liar (騙子)
-ard,(N.) person who is (具有某特徵的人),wizard (巫師),coward (懦夫),drunkard (醉鬼),dullard (笨蛋),sluggishard (懶惰鬼)
-arian,"(N./Adj.) person, belief (相信...的人)",vegetarian (素食者),librarian (圖書管理員),antiquarian (古物商),disciplinarian (嚴厲的人),unitarian (一神論者)
-arium,(N.) place for (場所),aquarium (水族館),terrarium (陸龜缸/玻璃花房),solarium (日光浴室),planetarium (天文館),vivarium (動植物園)
-ary,(Adj.) relating to (關於/相關),military (軍事的),primary (首要的),ordinary (普通的),temporary (暫時的),salary (薪水的)
-ate,(V.) to make (使成為),initiate (開始),activate (啟動),graduate (畢業),create (創造),motivate (激勵)
-ation,"(N.) action, state (行為，狀態)",creation (創造),education (教育),information (資訊),relaxation (放鬆),organization (組織)
-ative,(Adj.) tending to (具傾向的),talkative (健談的),creative (有創造力的),relative (相對的),adaptative (適應的),affirmative (肯定的)
-cracy,"(N.) government, rule (統治)",democracy (民主),bureaucracy (官僚制),aristocracy (貴族統治),meritcracy (精英領導),theocracy (神權政治)
-crat,(N.) person who rules (統治者),democrat (民主主義者),bureaucrat (官僚),aristocrat (貴族),technocrat (技術專家),autocrat (獨裁者)
-cule,(N.) small (微小),molecule (分子),animalcule (微生動物),ridicule (嘲笑/微不足道),minuscule (極小的),corpuscule (微粒)
-cy,"(N.) state, quality (性質，狀態)",emergency (緊急),efficiency (效率),fluency (流利),privacy (隱私),bankruptcy (破產)
-dom,"(N.) place, state of being (領域，狀態)",freedom (自由),kingdom (王國),wisdom (智慧),boredom (無聊),stardom (名聲)
-dox,"(N./Adj.) belief, opinion (觀點)",orthodox (正統的),paradox (悖論),heterodox (異端的),unorthodox (非正統的),doxology (讚美詩)
-ectomy,(N.) surgical removal (切除術),appendectomy (闌尾切除),tonsillectomy (扁桃腺切除),gastrectomy (胃切除),nephrectomy (腎切除),splenectomy (脾切除)
-ee,(N.) person receiving action (受事者),employee (員工),trainee (受訓者),payee (收款人),refugee (難民),nominee (被提名者)
-eer,(N.) person concerned with (從事者),engineer (工程師),volunteer (志工),mountaineer (登山家),puppeteer (操偶師),auctioneer (拍賣師)
-emia,(N.) blood condition (血液狀態),anemia (貧血),leukemia (白血病),glycemia (血糖),toxemia (毒血症),septicemia (敗血症)
-en,"(Adj.) made of, become (做的/變成)",broken (破碎的),wooden (木製的),golden (金色的),frozen (冰凍的),woolen (羊毛製的)
-en,"(V.) to become, to make (變成/使)",listen (聽),sharpen (削尖),strengthen (加強),brighten (變亮),weaken (削弱)
-ence,"(N.) state, quality (性質，狀態)",patience (耐心),evidence (證據),presence (存在),difference (差異),silence (沉默)
