Type (分類),V1 (原形),繁體中文意思,V1 例句,V2 (過去式),V2 例句,V3 (過去分詞),V3 例句,特別說明
AAA (三態同型),cut,切割；剪,I cut the paper with scissors.,cut,She cut her hair yesterday.,cut,The wire has been cut.,
AAA (三態同型),cost,花費,This painting will cost a fortune.,cost,The meal cost twenty dollars.,cost,How much has the repair cost?,
AAA (三態同型),hit,打；擊中,Don't hit the ball too hard.,hit,The car hit a tree last night.,hit,The target was hit successfully.,
AAA (三態同型),hurt,傷害；疼痛,Be careful not to hurt yourself.,hurt,His words really hurt me.,hurt,She was hurt in the accident.,
AAA (三態同型),let,讓,Please let me know your plan.,let,My parents let me stay out late.,let,We have been let down by the team.,
AAA (三態同型),read,閱讀,I read a book every night.,read,He read the newspaper this morning.,read,I've already read that article.,
AAA (三態同型),rid,使擺脫；除去,We must rid ourselves of debt.,rid,They rid the town of the problem.,rid,She is rid of her old car now.,
AAA (三態同型),set,放置；設定,Can you set the table for dinner?,set,The sun set an hour ago.,set,The foundation has been set.,
AAA (三態同型),shut,關閉,Please shut the door quietly.,shut,The library shut early on Friday.,shut,The windows are always shut.,
AAA (三態同型),spread,傳播；展開,The baker will spread jam on the toast.,spread,The news spread quickly across the city.,spread,The butter is spread too thinly.,
AAA (三態同型),fit,適合；合身,This jacket should fit you well.,fit,The shoes fit perfectly yesterday.,fit,The pieces were carefully fit together.,
AAA (三態同型),broadcast,廣播；播送,They will broadcast the concert live.,broadcast,The interview was broadcast yesterday.,broadcast,The message has been broadcast worldwide.,
AAA (三態同型),put,放置,Put the book back on the shelf.,put,I put the keys on the counter.,put,Everything is put in the correct box.,
AAA (三態同型),quit,停止；退出,I plan to quit my job next month.,quit,He quit smoking five years ago.,quit,She has quit the tennis team.,
AAA (三態同型),upset,使心煩；使不安,Don't upset your little brother.,upset,The bad news upset everyone.,upset,I am very upset about the delay.,
AAA (三態同型),burst,爆裂,The balloon will burst if you overinflate it.,burst,The pipe burst suddenly last night.,burst,Several water pipes have burst due to the freeze.,
AAA (三態同型),cast,投擲；選角,The fishermen cast their nets into the sea.,cast,He cast a glance at his watch.,cast,The statue was cast in bronze.,
AAA (三態同型),bet,打賭,I bet you can't finish the puzzle.,bet,He bet all his savings on the horse.,bet,The money has been bet on the outcome.,
AAA (三態同型),bid,出價；命令,She plans to bid on the antique vase.,bid,He bid $500 for the painting.,bid,The highest price has been bid at the auction.,
AAA (三態同型),shed,脫落；流出,Trees shed their leaves in autumn.,shed,She shed tears of joy.,shed,Blood has been shed.,
AAA (三態同型),slit,切開；撕裂,He tried to slit the envelope open.,slit,She slit the fabric with scissors.,slit,The envelope was slit open.,
AAA (三態同型),split,分裂；分開,Let's split the bill.,split,The group split into two.,split,The atom has been split.,
ABA (原型與過去分詞相同),become,變成,He wants to become a doctor.,became,She became famous overnight.,become,They have become very good friends.,
ABA (原型與過去分詞相同),come,來,Come and see me tomorrow.,came,My dog came running when called.,come,Has he come home yet?,
ABA (原型與過去分詞相同),run,跑,I run three miles every morning.,ran,They ran to catch the bus.,run,The machine has run for hours.,
ABA (原型與過去分詞相同),overcome,克服,We must overcome these challenges.,overcame,She overcame her fear of flying.,overcome,The obstacles have been overcome.,
ABB (過去式與過去分詞相同),say,說,What did you say?,said,She said goodbye and left.,said,That has been said many times.,
ABB (過去式與過去分詞相同),pay,付款,You must pay the bill soon.,paid,We paid the rent last Friday.,paid,The workers haven't been paid yet.,
ABB (過去式與過去分詞相同),sell,賣,I want to sell my old bicycle.,sold,They sold their house last year.,sold,All the tickets have been sold.,
ABB (過去式與過去分詞相同),tell,告訴,Can you tell me the time?,told,She told a funny story.,told,I have been told to wait here.,
ABB (過去式與過去分詞相同),bleed,流血；失血,You will bleed if you cut yourself.,bled,He bled heavily after the accident.,bled,She has bled so much that she feels weak.,
ABB (過去式與過去分詞相同),catch,抓住,Try to catch the falling plate.,caught,I caught a cold last week.,caught,The thief was caught in the act.,
ABB (過去式與過去分詞相同),teach,教,I teach English at a school.,taught,He taught me how to swim.,taught,We have been well taught.,
ABB (過去式與過去分詞相同),buy,買,I need to buy some new clothes.,bought,She bought a new car yesterday.,bought,The groceries have been bought.,
ABB (過去式與過去分詞相同),seek,尋求,They seek refuge from the storm.,sought,The police sought more information.,sought,Peace is often sought but rarely found.,
ABB (過去式與過去分詞相同),bring,帶來,Please bring a bottle of wine.,brought,He brought flowers to the party.,brought,The case has been brought to court.,
ABB (過去式與過去分詞相同),think,想,What do you think about this idea?,thought,I thought you were coming.,thought,This plan was well thought out.,
ABB (過去式與過去分詞相同),fight,打架；戰鬥,Do not fight with your colleagues.,fought,The soldiers fought bravely.,fought,They have fought for their rights.,
ABB (過去式與過去分詞相同),have,有；吃,We have a meeting at two.,had,She had dinner with friends.,had,I have had enough of this noise.,
ABB (過去式與過去分詞相同),hear,聽見,I can barely hear the music.,heard,I heard a strange noise outside.,heard,The news has been heard by everyone.,
ABB (過去式與過去分詞相同),make,製造；使,We will make a new plan.,made,He made a beautiful wooden box.,made,This watch was made in Switzerland.,
ABB (過去式與過去分詞相同),build,建造,They plan to build a new library.,built,My grandfather built this house.,built,The stadium is finally built.,
ABB (過去式與過去分詞相同),lend,借出,Can you lend me some money?,lent,She lent him her umbrella.,lent,The money was lent on condition.,
ABB (過去式與過去分詞相同),send,寄送,I will send you an email soon.,sent,They sent a package yesterday.,sent,Has the letter been sent?,
ABB (過去式與過去分詞相同),spend,花費（時間/金錢）,I like to spend time outdoors.,spent,We spent our vacation in Italy.,spent,All the money has been spent.,
ABB (過去式與過去分詞相同),lose,失去,Try not to lose your keys again.,lost,I lost my wallet on the bus.,lost,The game has been lost.,
ABB (過去式與過去分詞相同),smell,聞；嗅,Does this milk smell fresh?,smelt,The room smelt of smoke.,smelt,The air has smelt of rain all day.,為英式英語常用；美式英語常用規則變化smelled
ABB (過去式與過去分詞相同),get,得到,Can you get me a glass of water?,got,I got a present for my birthday.,got,He has got the message.,v3 got為英式常用；美式v3常用 gotten
ABB (過去式與過去分詞相同),sit,坐,Please sit down and relax.,sat,We sat in the park for an hour.,sat,She has sat in the front row before.,
ABB (過去式與過去分詞相同),win,贏,We hope to win the championship.,won,Our team won the match easily.,won,They have won two games in a row.,
ABB (過去式與過去分詞相同),strike,襲擊；打擊,The clock will strike noon soon.,struck,Lightning struck the old oak tree.,struck,The hour has struck.,
ABB (過去式與過去分詞相同),stick,黏住；刺,The label will stick to the box.,stuck,My car stuck in the mud.,stuck,The tape is firmly stuck to the wall.,
ABB (過去式與過去分詞相同),dig,挖掘,They need to dig a deeper hole.,dug,We dug a trench around the house.,dug,The foundations have been dug.,
ABB (過去式與過去分詞相同),hang,懸掛；垂下,I will hang the painting on the wall.,hung,She hung her coat in the closet.,hung,The picture is hung too high.,一般情況（懸掛、垂吊）
ABB (過去式與過去分詞相同),hang,絞刑；處死,The court will hang the murderer.,hanged,They hanged the criminal at dawn.,hanged,The traitor was hanged for treason.,僅限「絞刑處死」之意
ABB (過去式與過去分詞相同),hold,握住；舉行,Please hold this bag for me.,held,He held my hand firmly.,held,The meeting was held yesterday.,
ABB (過去式與過去分詞相同),meet,會面,We always meet at the cafe.,met,I met him at a conference.,met,We have never met before.,
