prefix,meaning,sample 1,sample 2,sample 3,sample 4,sample 5
a,"not, without (不，無)",abyss (深淵),amorphous (無定形的),aseptic (無菌的),atypical (非典型的),apathy (冷淡)
ab,"from, away (從，離開)",abnormal (不正常的),absent (缺席的),abstract (抽象的),abuse (濫用),abrupt (突然的)
ac,"to, toward (向)",accelerate (加速),accessible (可接近的),accept (接受),acclaim (歡呼),accommodate (容納)
ad,"to, toward, near (向，近)",adjacent (鄰近的),adapt (適應),advocate (擁護),admit (承認),adverb (副詞)
aer,air (空氣),aerate (通氣),aerial (空中的),aerospace (航空太空),aerobics (有氧運動),aerodynamics (空氣動力學)
agr,farming (農業),agriculture (農業),agribusiness (農業綜合企業),agrarian (土地的),agronomy (農藝學),agrology (農業土壤學)
ambi,both (雙，兩),ambiguous (含糊的),ambivalent (矛盾的),ambidextrous (雙手靈巧的),ambience (氣氛),ambivert (中間性格者)
amphi,"both, around (雙，周圍)",amphibian (兩棲動物),amphitheater (圓形劇場),amphoteric (兩性的),amphora (雙耳瓶),amphiarthrosis (微動關節)
ana,"up, back, again (向上，向後，再次)",analysis (分析),anatomy (解剖),anagram (易位構詞),anachronism (時代錯誤),anabatic (上升的)
ante,before (在...之前),antecedent (前事),antedate (早於),antenna (觸角),anterior (前面的),antechamber (前廳)
anti,against (反對),antibody (抗體),antibiotic (抗生素),antisocial (反社會),antifreeze (防凍劑),antiwar (反戰)
apo,"away, off (離開)",apology (道歉),apostrophe (撇號),apogee (遠地點),apostasy (叛教),apocalypse (啟示)
arch,"chief, most important (首要)",archangel (大天使),architect (建築師),archetype (原型),archbishop (大主教),archenemy (天敵)
at,"to, toward (向)",attend (出席),attract (吸引),attain (獲得),attest (證明),attitude (態度)
auto,self (自我),automobile (汽車),autograph (簽名),automatic (自動),autonomy (自治),autobiography (自傳)
be,"about, become (使，成為)",befriend (交朋友),belittle (輕視),beware (當心),besiege (圍攻),bewitch (使著迷)
bene,good (好),benevolent (仁慈的),benefit (利益),beneficial (有益的),benediction (祝福),beneficiary (受益人)
bi,"two, twice (二，雙)",biannual (一年兩次的),bicycle (腳踏車),bilingual (雙語的),binary (二元的),bisect (平分)
cata,"down, completely (向下，完全)",catastrophe (災難),catalog (目錄),catabolism (分解代謝),catapult (彈射器),cataract (大瀑布)
circ,"ring, circle (圓，環)",circle (圓圈),circuit (電路),circulate (循環),circumstance (情況),circus (馬戲團)
co,"with, together (共同)",coexist (共存),coauthor (合著者),coworker (同事),cooperate (合作),copilot (副駕駛)
com,"together, jointly (一起)",combine (結合),companion (同伴),committee (委員會),community (社區),communicate (溝通)
con,"with, jointly (一起)",concur (同意),connect (連接),confess (承認),congress (會議),confirm (確認)
contra,against (相反),contradict (反駁),contrast (對比),contrary (相反的),contraband (走私),contravene (違反)
counter,opposite (相對),counterclockwise (逆時針),counteract (抵消),counterpart (副本),counterattack (反擊),counterargument (反論)
de,"reduce, away, down (減少，下)",debug (除錯),decrease (減少),descend (下降),depart (離開),deform (變形)
deca,ten (十),decathlon (十項全能),decade (十年),decagon (十角形),decagram (十克),deciliter (分升)
deci,tenth (十分之一),decimal (小數的),deciliter (分升),decibel (分貝),decimate (大批殺死),decimetre (公寸)
demi,half (半),demigod (半神),demitasse (小咖啡杯),demilune (半月形),demirep (名聲不佳者),demi-monde (半上流社會)
di,two (二),divert (轉向),diverse (多樣的),dioxide (二氧化物),dilemma (困境),diploma (文憑)
dia,"through, across (穿過)",diameter (直徑),diagram (圖表),dialogue (對話),diagnosis (診斷),diary (日記)
dis,"not, opposite (不，相反)",discontinue (中斷),disagree (不同意),disappear (消失),dislike (不喜歡),discover (發現)
dys,"bad, abnormal (不良)",dysfunction (功能失調),dyslexia (閱讀障礙),dystrophy (萎縮),dyspepsia (消化不良),dyspnea (呼吸困難)
