chapter,subchapter,word,pos,meaning,english sentence,chinese sentence
行政與組織運作 / Administration & Organizational Operations,辦公室與日常行政 / Office & Routine Administration,appointment,n.,"約會,約定",I’d like to make an appointment with the HR manager to discuss my transfer.,我想和人資經理約個時間，討論我的調職事宜。
行政與組織運作 / Administration & Organizational Operations,辦公室與日常行政 / Office & Routine Administration,attendance,n.,出席人數;出席,Attendance at the training session is mandatory for all new staff.,所有新進同仁都必須出席這場訓練課程。
行政與組織運作 / Administration & Organizational Operations,辦公室與日常行政 / Office & Routine Administration,cabinet,n.,櫥櫃,The contracts are kept in the filing cabinet next to the copier.,合約放在影印機旁邊的文件櫃裡。
行政與組織運作 / Administration & Organizational Operations,辦公室與日常行政 / Office & Routine Administration,calendar,n.,日曆 月曆;行事曆,Please check my calendar and send a meeting invite for Thursday afternoon.,請看一下我的行事曆，幫我發一個週四下午的會議邀請。
行政與組織運作 / Administration & Organizational Operations,辦公室與日常行政 / Office & Routine Administration,clerk,n.,"辦事員,書記",A front-desk clerk will assist you with visitor registration.,櫃台職員會協助你辦理訪客登記。
行政與組織運作 / Administration & Organizational Operations,辦公室與日常行政 / Office & Routine Administration,directory,n.,人名住址薄,You can find her extension number in the company directory.,你可以在公司通訊錄裡找到她的分機號碼。
行政與組織運作 / Administration & Organizational Operations,辦公室與日常行政 / Office & Routine Administration,duplicate,n./v.,複製;副本,Please keep a duplicate of the signed form for your records.,請保留一份已簽署表單的複本備查。
行政與組織運作 / Administration & Organizational Operations,辦公室與日常行政 / Office & Routine Administration,filing,n.,歸檔,All invoices require proper filing after they are approved.,所有發票核准後都需要妥善歸檔。
行政與組織運作 / Administration & Organizational Operations,辦公室與日常行政 / Office & Routine Administration,in-tray,n.,待處理文件盒,Leave the documents in my in-tray and I’ll review them this evening.,把文件放在我的待處理文件盒裡，我今晚會看。
行政與組織運作 / Administration & Organizational Operations,辦公室與日常行政 / Office & Routine Administration,monitor,v./n.,檢測;監視;追蹤,The supervisor will monitor the workflow to ensure deadlines are met.,主管會監控工作流程，確保大家準時交件。
行政與組織運作 / Administration & Organizational Operations,辦公室與日常行政 / Office & Routine Administration,out-tray,n.,已處理文件盒,Finished reports should be placed in the out-tray for pickup.,完成的報告請放到已處理文件盒，方便收取。
行政與組織運作 / Administration & Organizational Operations,辦公室與日常行政 / Office & Routine Administration,partition,n./v.,分隔;分隔物(如牆壁等),They installed glass partitions to create more meeting space.,他們加裝了玻璃隔板，以增加會議空間。
