word,pos,meaning,english,chinese
abstract,adj.,抽象的,"""Love"" is an abstract concept.",「愛」是一個抽象的概念。
abstract,n.,(論文) 摘要,Please read the abstract of this paper.,請閱讀這篇論文的摘要。
abstract,v.,提取/萃取,Metals are abstracted from ores.,金屬是從礦石中提取的。
account,n.,帳戶,I opened a bank account.,我開了一個銀行帳戶。
account,n.,描述/報導,She gave a detailed account of the trip.,她詳細描述了這次旅行。
account,v.,解釋 (常用 account for),How do you account for the success?,你如何解釋這次成功？
address,n.,地址,Please write your address here.,請在這裡寫下你的地址。
address,v.,處理/演說,The president addressed the nation.,總統向全國發表演說。
address,v.,稱呼,How should I address you?,我該怎麼稱呼您？
appreciate,v.,感激,I highly appreciate your help.,我非常感激你的幫助。
appreciate,v.,欣賞/理解,You should learn to appreciate art.,你應該學習欣賞藝術。
appreciate,v.,增值/升值,The house has appreciated in value.,房子已經升值了。
approach,n.,方法/途徑,This is a different approach.,這是一個不同的方法。
approach,v.,接近,The final exam is approaching.,期末考正在接近。
approach,v.,處理,We need a new way to approach this problem.,我們需要新的方法來處理這個問題。
appropriate,adj.,適當的,Is this dress appropriate for a wedding?,這件衣服適合穿去婚禮嗎？
appropriate,v.,撥款/挪用,The government appropriated funds for the school.,政府撥款給這所學校。
arm,n.,手臂,He broke his arm.,他摔斷了手臂。
arm,n.,分支（組織）,the political arm of the group,該組織的政治分支。
arm,v.,武裝,The soldiers were armed with guns.,士兵們用槍武裝自己。
article,n.,文章/報導,I read an article about climate change.,我讀了一篇關於氣候變遷的文章。
article,n.,物品/物件,Several articles of clothing were found.,發現了幾件衣服。
article,n.,冠詞 (語法),The' is a definite article.,The' 是定冠詞。
back,adj.,後面的,the back door,後門。
back,adv.,向後,Please step back.,請向後退。
back,n.,背部,My back hurts.,我背痛。
back,v.,支持,I back your decision.,我支持你的決定。
balance,n.,平衡,He lost his balance and fell.,他失去平衡跌倒了。
balance,n.,餘額 (銀行),What is your bank balance?,你的銀行餘額是多少？
balance,v.,使平衡,You need to balance work and life.,你需要平衡工作與生活。
bank,n.,銀行,I need to go to the bank.,我需要去銀行。
bank,n.,河岸,We sat on the river bank.,我們坐在河岸上。
bank,v.,存錢,She banks half her salary.,她把一半薪水存進銀行。
bar,n.,酒吧,Let's go to a bar.,我們去酒吧吧。
bar,n.,長條,a bar of chocolate,一條巧克力
bar,n.,律師行業,She passed the bar exam.,她通過了律師考試。
bar,v.,禁止,He was barred from the competition.,他被禁止參賽。
bar,v.,阻擋,A wall bars the way.,一堵牆擋住了路。
bark,n.,樹皮,The tree has rough bark.,這棵樹的樹皮很粗糙。
bark,n.,狗叫聲,The bark woke me up.,狗叫聲把我吵醒了。
bark,v.,吠叫,The dog barks loudly.,那隻狗大聲吠叫。
bark,v.,厲聲說話,He barked orders at his staff.,他厲聲對下屬發號施令。
bat,n.,蝙蝠,Bats come out at night.,蝙蝠在夜間出沒。
bat,n.,球棒,He swung the baseball bat.,他揮動棒球棒。
bat,v.,擊球,He batted the ball.,他擊中了球。
bat,v.,眨眼（bat an eye）,She didn't bat an eye.,她連眼睛都沒眨一下。
bear,n.,熊,A bear appeared in the forest.,森林裡出現了一隻熊。
bear,v.,忍受,I can't bear the pain.,我無法忍受疼痛。
bear,v.,生育,She bore three children.,她生了三個孩子。
bear,v.,攜帶/具有,He bears a resemblance to his father.,他長得像他父親。
