root,meaning,sample 1,sample 2,sample 3,sample 4,sample 5
acad,place of learning (學習之地，學術),academy (學院),academic (學術的),academician (院士),academically (學術上),academicism (學術傳統)
acr,"top, height (頂端，高)",acrobat (雜技演員),acronym (首字母縮寫),acrophobia (懼高症),acropolis (衛城),acromegaly (肢端肥大症)
act,do (做，行動),action (行動),react (反應),interact (互動),transact (交易),actor (演員)
aero,air (空氣),aerodynamics (空氣動力學),aerosol (氣溶膠),aerospace (航空太空),aerobic (有氧的),aeronautics (航空學)
agr,"field, soil (田地，土壤)",agriculture (農業),agronomy (農藝學),agroforestry (農林業),agrology (農業土壤學),agribusiness (農業綜合企業)
al,nourish (滋養),alumni (校友),alma mater (母校),aliment (營養),alimony (贍養費),alumnus (男校友)
alg,pain (疼痛),analgesic (止痛劑),neuralgia (神經痛),nostalgia (懷舊),algophobia (疼痛恐懼),fibromyalgia (纖維肌痛)
aliment,"food, nourish (食物，滋養)",alimentary (飲食的),aliment (營養物),alimentation (營養法),alimony (贍養費),alimentology (食療學)
ambul,walk (行走),amble (漫步),ambulance (救護車),somnambulism (夢遊),ambulatory (可走動的),perambulate (巡行)
ami,friend (朋友),amiable (和藹可親的),amicable (友好的),amity (友好關係),amicus (法庭之友),enamored (傾心的)
andr,"man, male (男人，雄性)",android (機器人),androgen (雄激素),androgynous (雌雄同體的),andrology (男科學),polyandry (一妻多夫制)
anim,"life, spirit (生命，靈魂)",animal (動物),animate (有生命的),animosity (仇恨),unanimous (全體一致的),reanimate (使復活)
ann,year (年),annual (每年的),anniversary (週年紀念),annuity (年金),perennial (終年的),superannuated (領養老金退休的)
anth,flower (花),anthology (選集),anthozoan (珊瑚蟲類),anthesis (開花期),anthocyanin (花青素),anthophilous (喜花的)
anthrop,human (人類),anthropology (人類學),anthropic (人類的),philanthropy (慈善),misanthrope (憤世嫉俗者),anthropoid (類人的)
aqu,water (水),aquarium (水族館),aquatic (水生的),aqueduct (導水管),aquifer (含水層),aquamarine (海藍寶石)
arbor,tree (樹木),arborist (樹藝師),arboreal (樹棲的),arboretum (植物園),arboriculture (樹木栽培),arbor (涼亭)
archae,ancient (古老的),archaeology (考古學),archaean (太古界的),archaeopteryx (始祖鳥),archaeography (古文書學),archaeolithic (舊石器時代的)
astra,"star, lightning (星，閃電)",astrapophobia (閃電恐懼),astraphobia (雷電恐懼),astrape (閃電),astraparian (雷電的),astral (星體的)
astro,star (星星),astronomy (天文學),astronaut (航天員),astrology (占星術),astrophysics (天體物理學),asteroid (小行星)
audi,hear (聽),audience (觀眾),audio (音訊),auditorium (禮堂),audible (可聽見的),audition (試鏡)
avi,bird (鳥),aviation (航空),aviary (大鳥籠),aviator (飛行員),aviculture (養鳥業),avionics (航空電子設備)
bar,"pressure, weight (壓力，重量)",barometer (氣壓計),baritone (男中音),bariatrics (減肥醫學),barogram (氣壓圖),baroscope (驗氣器)
bell,war (戰爭),belligerent (好戰的),bellicose (樂於戰鬥的),rebel (反叛者),antebellum (戰前的),postbellum (戰後的)
biblio,book (書),bibliography (書目),bibliophile (藏書家),bibliotheca (圖書館),bibliotherapy (圖書理療),bibliolatry (書籍崇拜)
bio,life (生命),biology (生物學),biography (傳記),biosphere (生物圈),biotic (生物的),biochemist (生物學家)
