Phrases,Meaning,English Sentence,Chinese Sentence
a great deal,很多,We need to spend a great deal of time planning the event.,我們需要花費大量的時間來規劃這次活動。
abide by,遵守,You must abide by the rules.,你必須遵守規則。
abstain from,戒除,She chose to abstain from voting on the controversial issue.,她選擇不參與對這個有爭議議題的投票。
account for,解釋,High inflation accounts for the rising cost of living.,高通膨是生活費用不斷上漲的原因。
across the board,全盤的、全面的,The new policy will apply across the board to all employees.,這項新政策將全面地適用於所有員工。
act as,充當；起作用,He acted as the spokesperson for the company.,他充當公司的發言人。
act on,根據⋯行事,We need to act on this information immediately.,我們需要立即根據這些信息行動。
add to,增加,The new discovery adds to our understanding of the universe.,這一新發現增加了我們對宇宙的理解。
add up,合計,The expenses for the trip quickly began to add up.,這次旅行的開支很快就開始累積起來。
adhere to,堅持、遵守,Please adhere to the safety regulations while working in the lab.,在實驗室工作時，請遵守安全規定。
aim at,針對；目的是,This program is aimed at improving students' skills.,這個計劃的目的是提高學生的技能。
all the way,自始至終,We walked all the way from the city center to the museum.,我們一路從市中心走到博物館。
all-out,用盡全力的,They launched an all-out effort to find the missing hiker.,他們展開了全面的努力來尋找失蹤的徒步旅行者。
answer for,對(某事物)負責,The coach must answer for the team’s poor performance.,教練必須為球隊表現不佳負責。
appeal to,吸引,The colorful packaging might appeal to younger consumers.,這種色彩繽紛的包裝可能會吸引年輕的消費者。
apply for,申請,She applied for a job at the new company.,她申請了這家新公司的工作。
approve of,贊成,Do you approve of their decision?,你贊成他們的決定嗎？
around the clock,日以繼夜,The shop is open around the clock.,這家店全天候開放。
as a result of,由於,As a result of the typhoon the flight is canceled.,由於颱風，航班被取消。
as for,至於,"As for the final decision, we will announce it next week.",至於最終的決定，我們將在下週宣布。
as of,到目前為止,The new schedule will be in effect as of next Monday.,新的時間表將自下週一起生效。
as opposed to,而不是...,We should focus on quality as opposed to quantity.,我們應該專注於質量，而不是數量。
as per,依照,The report was completed as per your instructions.,該報告已按照您的指示完成。
as well as,以及,Tom as well as his brother is an outstanding athlete.,Tom和他的兄弟都是傑出的運動員。
as yet,到目前為止,The full details of the plan are as yet unknown.,這項計畫的全部細節到目前為止仍是未知。
aside from,除了...之外,"Aside from his salary, he also receives an annual bonus.",除了他的薪水之外，他還會收到年終獎金。
ask after,問候,He asked after you at the party.,他在派對上問候了你。
ask for,尋求；要求,She asked for help with her homework.,她請求幫助做作業。
aspire to be,渴望,He aspires to be a professional musician someday.,他渴望有朝一日成為一名專業音樂家。
assist with,協助,The nurse will assist with the patient's physical therapy.,護士將協助病患進行物理治療。
assortment of,各式各樣的,The store sells an assortment of imported cheeses.,這家商店販賣各式各樣的進口起司。
at a glance,立刻,You can tell the quality of the product at a glance.,你可以一眼看出這個產品的品質。
