Collocation,Chinese meaning,Meaning,Sentence
access information,存取資訊 / 獲取信息,To be able to get or use information.,On the web you can access information on any subject you want to.                                                                 
achieve success,獲得成功,"To attain a desired outcome or reach a high standard of performance, typically through effort, skill, or courage.",It’s difficult to achieve success in international sport.                                         
achieve your aims,達到目的,To successfully reach the objectives you have set for yourself.,"With hard work and dedication, you can achieve your aims.                                         "
achieve your goals,達成目標,To successfully complete or obtain something you have been working toward.,It is important to have goals even if you do not always achieve them.                             
acknowledge your sources,註明出處,To state in academic writing where you got information from.,It is important in academic writing always to acknowledge your sources.                                                           
act as a deterrent,起嚇阻作用,To discourage someone from doing something.,People who commit driving offences should be banned from driving for life. That would act as a deterrent.                         
act within the law,依法行事,(Formal) To obey the law.,The company acted within the law as regards the rights of its employees.                                                          
acts of mindless vandalism,無理智的破壞行為,"Destructive behaviour, often criminal, without any apparent motive.",Police have reported a staggering increase in the number of acts of mindless vandalism.           
acute hearing,敏銳的聽覺,A very sharp sense of hearing.,I used to have an acute sense of smell and acute hearing but I don't any more.                                                    
acute sense of smell,敏銳的嗅覺,A very sharp sense of smell.,I used to have an acute sense of smell and acute hearing but I don't any more.                                                    
add an extension,擴建(房屋) / 加裝分機,To build an extra room or two onto an existing house.,And if we want to add an extension there's room for that too.                                                                     
add colour to,增添色彩 / 增加趣味,To make something more interesting or exciting; used metaphorically.,The trip to Brazil certainly added colour to our rather boring lives.                             
adjourn the meeting  /  adjourn the trial,休會 / 休庭,To pause or take a rest during a formal proceeding.   Lexicographer's Note: The verb  adjourn  is very strongly associated with  meeting  and  trial  .,The chairperson adjourned the meeting until the following week.               
adopt a new approach,採用新方法,To start to use a new method.,We've decided to adopt a new approach to the parking problem.                                                                     
adoring fans,狂熱粉絲 / 愛戴的崇拜者,Fans who love a celebrity very much.,"At 47, he's not exactly a pop idol but his adoring fans will love it.                                                             "
affordable housing,經濟適用房 / 負擔得起的住房,Housing that is not too expensive.,I want to buy a place of my own but there's a shortage of affordable housing here and I don't want to take out a big mortgage.    
air a grievance,訴苦 / 發洩不滿,To complain or make a formal complaint public. This is a formal expression.,The union meeting gave workers a chance to air their grievances.              
aisle seat,靠走道的座位,A seat in a plane next to the aisle.,Do you normally prefer a window seat or an aisle seat when you fly?                                                               
alight from the bus,下公車,(Formal) To get off the bus.,Passengers must alight from the bus through the rear door.                                                                        
alleviate poverty,緩解貧困,To make poverty less serious.,"Perhaps we cannot eradicate poverty altogether, but we can certainly alleviate poverty, and that is our challenge.                "
almighty bang,巨大的聲響,A very loud bang.,Did you hear that almighty bang in the middle of the night?                                                                       
ample room,充裕的空間,More than enough space.,The new house has ample room for a family with two children.                  
ancient history,古代史 / 陳年舊事,The history of a period long ago.,She studied ancient history.                                                                                                      
ancient times,古代,A period of history long ago.,"In ancient times, life was very hard.                                                                                             "
antique furniture,古董家具,Old and valuable furniture.,This shop sells antique furniture.                                                                                                
antique jewellery,古董珠寶,Old and valuable jewellery.,She collects antique jewellery.                                                                                                   
appear in court,出庭,To be present in a court of law.,The trial starts today but the witnesses will be appearing in court tomorrow.                                                     
apply for a job,應徵工作,To formally request consideration for a job vacancy.,"After graduating, she plans to apply for a job in marketing.                                      "
apply for custody of,申請監護權,To make a formal request for the legal right to care for a child.,"The father applied for custody of the children, but the judge gave/granted custody to the mother.                                 "
appreciate someone's point of view,理解某人的觀點,To understand someone's opinion.,"I appreciate your point of view, but I still think you are overstating the problem.                                               "
arouse feelings,激起情感,To cause feelings to emerge.,It has especially aroused feelings of resentment among professional people.                                                       
arrive at a decision,做出決定,To make a decision.,"After weeks of hesitating, it seems Archie has arrived at a decision about the research fund.                                     "
ask you a favour,請你幫個忙,To ask someone to do something for you as an act of kindness.,I want to ask you a favour.                                                                       
astronomical fees,天價費用,Extremely high fees.,They charge astronomical fees to attend the specialized training course.      
attach the file,附加檔案,To add a computer file to an email.,"Yes, you click here and then attach the file.                                                                                     "
attack of hay fever,花粉症發作,A sudden period of illness caused by an allergic reaction to pollen.,She had an attack of hay fever and was sneezing non-stop.                                         
attend a lecture,聽演講,To go to a lecture.,All students are required to attend a lecture on academic writing.                                                                
attract criticism/interest,招致批評 / 吸引興趣,To cause people to become critical or interested.,His book has attracted a lot of criticism/interest.                                                                               
attract his attention,引起他的注意,To do something to make someone notice you.,I’ll try to attract his attention during a lull in the conversation.                              
auburn hair,赤褐色的頭髮,"A reddish-brown hair color.   Lexicographer's Note:  Auburn  collocates only with words connected with hair (e.g., curls, tresses, locks).",She was easy to recognize with her beautiful auburn hair.                     
away match,客場比賽,A game played at an opponent's home ground.,The team is travelling to Manchester for an away match this weekend.                              
back up (an argument/a conclusion),支持(論點/結論),To provide evidence or support for a claim or argument.,"Jones puts forward an interesting theory of language learning, backing up his argument with thorough data.          "
back up your work,備份你的工作檔案,To make a copy of computer files.,Burning a CD is a quick and easy way to back up your work.                                                                 
background music,背景音樂,Music that is playing while you are doing something else.,"If you're looking for background music, then this is not for you.                                                          "
bad / strong / foul language,髒話 / 粗話,Swear words and taboo language. Foul language suggests much stronger disapproval than bad or strong language.,The film was criticized for its use of bad language.                                    
badly need,急需,To have a strong and urgent need for something.,You badly need a haircut!                                                                                                                                                                                     
